,location,url,lat,lng,text
72,Didam,/locatie/did001,51.93351,6.13221,3 fietsen beschikbaar
73,Diemen,/locatie/dmn001,52.344897,4.968411,3 fietsen beschikbaar
74,Diemen Zuid,/locatie/dmnz001,52.33042,4.95566,Geen actuele beschikbaarheid.
75,Dieren,/locatie/dr001,52.04548,6.10312,3 fietsen beschikbaar
76,Doetinchem,/locatie/dtc001,51.95865,6.29575,Geen actuele beschikbaarheid.
77,Doetinchem de Huet,/locatie/dtch001,51.95929,6.25961,4 fietsen beschikbaar
78,Dordrecht,/locatie/ddr001,51.80781,4.66785,1 fietsen beschikbaar
79,Driebergen-Zeist,/locatie/db001,52.065057,5.259785,171 fietsen beschikbaar
80,Driehuis,/locatie/drh001,52.44301,4.63908,3 fietsen beschikbaar
81,Dronten,/locatie/DRON001,52.532839,5.72051,Geen actuele beschikbaarheid.
82,Duiven ,/locatie/dvn001,51.94356,6.01459,17 fietsen beschikbaar
83,Duivendrecht,/locatie/dvd001,52.32369,4.93629,Geen actuele beschikbaarheid.
84,Echt,/locatie/ec001,51.10008,5.87851,Geen actuele beschikbaarheid.
85,Ede-Wageningen Zuidplein,/locatie/ed002,52.027075,5.671595,5 fietsen beschikbaar
86,Ede-Wageningen Zuidzijde,/locatie/ed001,52.026939,5.672048,93 fietsen beschikbaar
87,Eindhoven Beukenlaan,/locatie/ehb001,51.447629,5.451376,Geen actuele beschikbaarheid.
88,Eindhoven Noordzijde,/locatie/ehv003,51.443676,5.480101,Geen actuele beschikbaarheid.
89,Eindhoven Zuidzijde (centrum),/locatie/ehv002,51.442199,5.480273,4 fietsen beschikbaar
90,Elst,/locatie/est001,51.917265,5.853899,4 fietsen beschikbaar
91,Emmen,/locatie/emn001,52.78953,6.89916,29 fietsen beschikbaar
92,Enkhuizen,/locatie/ekz001,52.69996,5.28904,17 fietsen beschikbaar
93,Enschede,/locatie/es002,52.22169,6.88984,12 fietsen beschikbaar
94,Ermelo,/locatie/eml001,52.30039,5.61434,Geen actuele beschikbaarheid.
95,Etten-Leur,/locatie/etn001,51.575171,4.636554,Geen actuele beschikbaarheid.
96,Geldermalsen,/locatie/gdm001,51.88156,5.2703,Geen actuele beschikbaarheid.
97,Geldrop Fietskluis,/locatie/Gp001,51.420562,5.55033,6 fietsen beschikbaar
98,Gilze Rijen,/locatie/gz001,51.584041,4.92483,2 fietsen beschikbaar
99,Goes,/locatie/gs002,51.49874,3.88823,Geen actuele beschikbaarheid.
100,Goor,/locatie/go001,52.23056,6.58465,2 fietsen beschikbaar
101,Gorinchem,/locatie/gr001,51.83366,4.96788,1 fietsen beschikbaar
102,Gouda,/locatie/gd001,52.01803,4.705,66 fietsen beschikbaar
103,Gouda Goverwelle,/locatie/gdg001,52.015,4.74286,4 fietsen beschikbaar
104,Groningen,/locatie/gn001,53.21155,6.56701,558 fietsen beschikbaar
105,Groningen Noord,/locatie/Gnn001,53.230098,6.557451,4 fietsen beschikbaar
106,Groningen P+R Hoogkerk,/locatie/gn002,53.197953,6.512867,4 fietsen beschikbaar
107,Groningen P+R Kardinge,/locatie/gn003,53.238277,6.59382,8 fietsen beschikbaar
108,Haarlem Fiets Inn,/locatie/hlm002,52.38763,4.63832,156 fietsen beschikbaar
109,Haarlem Spaarnwoude,/locatie/hlms001,52.38213,4.670836,Geen actuele beschikbaarheid.
110,Halfweg Zwanenburg,/locatie/hwzb001,52.38647,4.746886,Geen actuele beschikbaarheid.
111,Hardenberg,/locatie/hdb001,52.57456,6.62907,1 fietsen beschikbaar
112,Harderwijk,/locatie/hd001,52.3377,5.619034,29 fietsen beschikbaar
113,Haren,/locatie/HRN002,53.175165,6.617819,Geen actuele beschikbaarheid.
114,Haren P+R Transferium,/locatie/hrn001,53.168783,6.592465,8 fietsen beschikbaar
115,Heemskerk,/locatie/hk001,52.49418,4.68518,3 fietsen beschikbaar
116,Heemstede-Aerdenhout,/locatie/had002,52.35899,4.60547,5 fietsen beschikbaar
117,Heerenveen,/locatie/hr001,52.96098,5.91617,2 fietsen beschikbaar
118,Heerhugowaard,/locatie/hwd002,52.66929,4.82352,16 fietsen beschikbaar
119,Heerlen,/locatie/hrl001,50.89033,5.97444,12 fietsen beschikbaar
120,Heeze-Leende,/locatie/hze001,51.38531,5.56985,Geen actuele beschikbaarheid.
121,Heiloo,/locatie/hlo001,52.600106,4.700891,9 fietsen beschikbaar
122,Hellendoorn/Nijverdal OV-fiets Carrousel,/locatie/nvd001,52.36599,6.469563,6 fietsen beschikbaar
123,Helmond,/locatie/hm001,51.4761,5.661,16 fietsen beschikbaar
124,Helmond 't Hout,/locatie/hmh001,51.46803,5.6313,1 fietsen beschikbaar
125,Helmond Brandevoort,/locatie/hmbv001,51.46274,5.60881,3 fietsen beschikbaar
126,Helmond Brouwhuis,/locatie/hmbh001,51.47057,5.70168,2 fietsen beschikbaar
127,Hengelo,/locatie/hgl001,52.26239,6.7936,Geen actuele beschikbaarheid.
128,Hengelo Gezondheidspark,/locatie/hglg001,52.26183,6.76561,5 fietsen beschikbaar
129,Hillegom,/locatie/hil001,52.30292,4.56551,2 fietsen beschikbaar
130,Hilversum,/locatie/hvs001,52.22626,5.18076,32 fietsen beschikbaar
131,Hilversum Sportpark ,/locatie/hvsp001,52.21633,5.18768,26 fietsen beschikbaar
132,Hollandse Rading OV-fiets Carrousel,/locatie/hor001,52.17815,5.17915,22 fietsen beschikbaar
133,Holten,/locatie/hon001,52.283962,6.421691,5 fietsen beschikbaar
134,Hoofddorp,/locatie/hfd001,52.2933,4.69816,3 fietsen beschikbaar
135,Hoogeveen,/locatie/hgv002,52.73309,6.47358,15 fietsen beschikbaar
136,Hoogezand Sappemeer,/locatie/Hgz001,53.160117,6.771075,1 fietsen beschikbaar
137,Hoogkarspel,/locatie/hks001,52.69046,5.18181,1 fietsen beschikbaar
138,Hoorn,/locatie/hn001,52.64469,5.05501,43 fietsen beschikbaar
139,Hoorn Kersenboogerd,/locatie/hnk001,52.65339,5.08486,7 fietsen beschikbaar
140,Horst Sevenum,/locatie/hrt001,51.4276,6.0408,Geen actuele beschikbaarheid.
141,Houten,/locatie/htn001,52.03487,5.16663,44 fietsen beschikbaar
142,Houten Castellum,/locatie/htnc001,52.01759,5.18015,31 fietsen beschikbaar
143,Kampen,/locatie/kpn002,52.56016,5.92167,21 fietsen beschikbaar
144,Kerkrade Centrum,/locatie/krd001,50.86112,6.05724,3 fietsen beschikbaar
145,Krommenie-Assendelft,/locatie/kma001,52.49511,4.75479,2 fietsen beschikbaar
146,Lage Zwaluwe,/locatie/Zlw001,51.690342,4.662253,1 fietsen beschikbaar
147,Landgraaf,/locatie/lg001,50.895754,6.020388,4 fietsen beschikbaar
148,Leeuwarden,/locatie/lw001,53.19678,5.79636,76 fietsen beschikbaar
149,"Leiden Centraal, Centrumzijde",/locatie/ledn002,52.16557,4.48259,9 fietsen beschikbaar
150,"Leiden Centraal,Uitgang LUMC",/locatie/ledn001,52.165578,4.48155,211 fietsen beschikbaar
151,Leiden de Vink,/locatie/dvnk001,52.14708,4.45593,2 fietsen beschikbaar
152,Lelystad Centrum,/locatie/lls002,52.50801,5.47328,6 fietsen beschikbaar
153,Lochem,/locatie/lc001,52.16652,6.42582,4 fietsen beschikbaar
154,Maarheeze,/locatie/mz001,51.30583,5.63594,3 fietsen beschikbaar
155,Maarssen,/locatie/MAS001,52.135651,5.03139,1 fietsen beschikbaar
156,Maassluis,/locatie/mss001,51.9168,4.2534,8 fietsen beschikbaar
157,Maastricht,/locatie/mt001,50.84962,5.70491,117 fietsen beschikbaar
158,Maastricht Noord,/locatie/mtn001,50.871389,5.718611,7 fietsen beschikbaar
159,Maastricht Randwyck,/locatie/mtr001,50.83744,5.71778,3 fietsen beschikbaar
160,Meerssen,/locatie/mes001,50.88299,5.75139,4 fietsen beschikbaar
161,Meppel,/locatie/mp001,52.69232,6.19411,20 fietsen beschikbaar
162,Middelburg,/locatie/mdb001,51.49517,3.61768,17 fietsen beschikbaar
163,Muiden P&R,/locatie/wp901,52.32876,5.05091,4 fietsen beschikbaar
164,Naarden-Bussum,/locatie/ndb002,52.28132,5.15793,12 fietsen beschikbaar
165,Nijmegen,/locatie/nm001,51.842825,5.853375,93 fietsen beschikbaar
166,Nijmegen Goffert,/locatie/nmgo001,51.827333,5.822722,Geen actuele beschikbaarheid.
167,Nijmegen Heyendaal,/locatie/nmh001,51.82674,5.86735,Geen actuele beschikbaarheid.
168,Nootdorp,/locatie/gvc901,52.04758,4.415059,1 fietsen beschikbaar
169,Nunspeet,/locatie/Ns001,52.371034,5.783895,4 fietsen beschikbaar
